id,left,top,right,bottom,X,Y,SHETRAN_ID,LC_0,LC_1,LC_2,LC_3,LC_4,LC_5,LC_6,LC_7,LC_9,LC_10,LC_11,LC_12,LC_14,LC_20,LC_21
1,355775.000099999830127,607775.000099999830127,360775.000099999830127,602775.000099999830127,358275.000099999830127,605275.000099999713711,"-9999","33800","0","5715","0","0","0","0","485","0","0","0","0","0","0","0"
2,355775.000099999830127,602775.000099999830127,360775.000099999830127,597775.000099999830127,358275.000099999830127,600275.000099999713711,"0","18759","156","12111","0","741","0","0","8180","0","41","0","0","0","0","12"
3,355775.000099999830127,597775.000099999830127,360775.000099999830127,592775.000099999830127,358275.000099999830127,595275.000099999713711,"0","0","417","12383","0","5232","0","0","15843","0","2132","3926","0","0","0","67"
4,355775.000099999830127,592775.000099999830127,360775.000099999830127,587775.000099999830127,358275.000099999830127,590275.000099999713711,"0","0","0","30437","0","0","0","0","2182","818","10","6553","0","0","0","0"
5,355775.000099999830127,587775.000099999830127,360775.000099999830127,582775.000099999830127,358275.000099999830127,585275.000099999713711,"0","0","0","25042","0","0","0","0","118","14746","13","81","0","0","0","0"
6,355775.000099999830127,582775.000099999830127,360775.000099999830127,577775.000099999830127,358275.000099999830127,580275.000099999713711,"0","0","222","17111","0","1116","0","0","5613","15906","0","6","0","0","0","26"
7,355775.000099999830127,577775.000099999830127,360775.000099999830127,572775.000099999830127,358275.000099999830127,575275.000099999713711,"-9999","0","847","7711","0","10625","0","0","20539","83","67","0","0","0","0","128"
8,355775.000099999830127,572775.000099999830127,360775.000099999830127,567775.000099999830127,358275.000099999830127,570275.000099999713711,"-9999","0","1257","4065","68","18208","0","0","15947","0","338","0","0","0","0","117"
9,355775.000099999830127,567775.000099999830127,360775.000099999830127,562775.000099999830127,358275.000099999830127,565275.000099999713711,"-9999","0","3818","63","0","33847","0","0","1730","0","0","0","0","0","10","532"
10,355775.000099999830127,562775.000099999830127,360775.000099999830127,557775.000099999830127,358275.000099999830127,560275.000099999713711,"0","0","3764","1398","225","23315","0","0","10076","0","50","0","114","326","0","732"
11,355775.000099999830127,557775.000099999830127,360775.000099999830127,552775.000099999830127,358275.000099999830127,555275.000099999713711,"0","0","1082","405","0","978","0","0","23940","13471","53","0","0","0","0","71"
12,355775.000099999830127,552775.000099999830127,360775.000099999830127,547775.000099999830127,358275.000099999830127,550275.000099999713711,"-9999","0","176","32","0","3779","0","0","15222","20699","16","0","0","0","0","76"
13,355775.000099999830127,547775.000099999830127,360775.000099999830127,542775.000099999830127,358275.000099999830127,545275.000099999713711,"-9999","0","1624","56","51","26992","0","0","10526","444","44","0","0","7","0","256"
14,355775.000099999830127,542775.000099999830127,360775.000099999830127,537775.000099999830127,358275.000099999830127,540275.000099999713711,"-9999","15041","2772","30","391","21498","0","0","9","0","0","0","0","0","0","259"
15,355775.000099999830127,537775.000099999830127,360775.000099999830127,532775.000099999830127,358275.000099999830127,535275.000099999713711,"-9999","33800","348","0","0","5809","0","0","0","0","0","0","0","0","0","43"
